Name,ImageName,PageURL,Character List,Characters,Control,Flavor Text,Game Text,Numbers,Printing,Rarity,Subtype,Traits,Trivia,Type
Black Panther - Black Panther Power,Blackpantherblackpantherpower-CLOP_cb20211009171511.jpg,https://cardguide.fandom.com/wiki/Black_Panther_-_Black_Panther_Power_(CLOP),,Black Panther,LR,,Acts as a level 4 Energy or Strength attack. May combine with 1 Intellect card for a single attack. One Per Deck,Cost/Effect: Energy/Strength 4,Normal,Rare,,,,Special
Bullseye,Bullseye-CLOP_cb20211008223624.jpg,https://cardguide.fandom.com/wiki/Bullseye_(CLOP),,Bullseye (Lester),,,-,Energy 4Fighting 8Strength 4Intellect 2,Normal,Rare,,"Marvel Comics, Male",,Character
Bullseye - Assassin for Hire,Bullseyeassassinforhire-CLOP_cb20211009173254.jpg,https://cardguide.fandom.com/wiki/Bullseye_-_Assassin_for_Hire_(CLOP),,"2 unknowns, Bullseye",DD,,Discard 1 Intellect Power card usable by Bullseye. Bullseye is +2 to all Power card attacks against Target Character for remainder of game.,Cost/Effect: -,Normal,Uncommon,,,,Special
Black Panther - African Monarch,Blackpantherafricanmonarch-CLOP_cb20211009164606.jpg,https://cardguide.fandom.com/wiki/Black_Panther_-_African_Monarch_(CLOP),,Black Panther,KM,,Play this Special card with any other Special card from Hand. Value of Special card is added to Black Panther's Venture Total for this battle.,Cost/Effect: -,Normal,Common,,,,Special
Bullseye - Murderer,Bullseyemurderer-CLOP_cb20211010111753.jpg,https://cardguide.fandom.com/wiki/Bullseye_-_Murderer_(CLOP),,Bullseye,JX,,"Acts as a level 4 Fighting attack. If Target Character is K.O.'d by this Hit, Bullseye may move 1 Mission card from the Defeated Pile to the Completed Pile.",Cost/Effect: Fighting 4,Normal,Common,,,,Special
Bullseye - Carefree Killer,Bullseyecarefreekiller-CLOP_cb20211009173933.jpg,https://cardguide.fandom.com/wiki/Bullseye_-_Carefree_Killer_(CLOP),,Bullseye,JH,,"Acts as a level 5 Intellect attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Intellect 5,Normal,Common,,,,Special
Black Panther - Agile Warrior,Blackpantheragilewarrior-CLOP_cb20211009164937.jpg,https://cardguide.fandom.com/wiki/Black_Panther_-_Agile_Warrior_(CLOP),,Black Panther,AG,,Avoid 1 attack.,Cost/Effect: -,Normal,Uncommon,,,,Special
Captain Mar-Vell,Captainmarvell-CLOP_cb20211008224024.jpg,https://cardguide.fandom.com/wiki/Captain_Mar-Vell_(CLOP),,Captain Marvel (Mar-Vell),,,Energy Power Grid Rating 8 for defense.,Energy 6Fighting 6Strength 6Intellect 4,Normal,Uncommon,,"Marvel Comics, Male",,Character
Captain Mar-Vell - Cosmic Awareness,Captainmarvellcosmicawareness-CLOP_cb20211010114119.jpg,https://cardguide.fandom.com/wiki/Captain_Mar-Vell_-_Cosmic_Awareness_(CLOP),,Mar-Vell,HF,,Acts as a level 4 Energy or Intellect attack.,Cost/Effect: Energy/Intellect 4,Normal,Common,,,,Special
Captain Mar-Vell - Nega-Bands,Captainmarvellnegabands-CLOP_cb20211010115230.jpg,https://cardguide.fandom.com/wiki/Captain_Mar-Vell_-_Nega-Bands_(CLOP),,Mar-Vell,JH,,"Acts as a level 5 Fighting attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Fighting 5,Normal,Uncommon,,,,Special
Captain Mar-Vell - Protector of the Universe,Captainmarvellprotectoroftheuniverse-CLOP_cb20211010115807.jpg,https://cardguide.fandom.com/wiki/Captain_Mar-Vell_-_Protector_of_the_Universe_(CLOP),,Mar-Vell,AD,,Captain Mar-Vell or teammate may avoid 1 attack of 9 or less.,Cost/Effect: -,Normal,Common,,,,Special
Captain Mar-Vell - Universal Alignment,Captainmarvelluniversalalignment-CLOP_cb20211010120920.jpg,https://cardguide.fandom.com/wiki/Captain_Mar-Vell_-_Universal_Alignment_(CLOP),,Mar-Vell,KK,,Plays during battle. Both players move all Mission cards to Reserve Missions Pile. Mission cards Ventured this battle are now Ventured from Reserve Missions Pile.,Cost/Effect: -,Normal,Rare,,,,Special
Bullseye - Everything's a Weapon,Bullseyeeverythingsaweapon-CLOP_cb20211009191910.jpg,https://cardguide.fandom.com/wiki/Bullseye_-_Everything%27s_a_Weapon!_(CLOP),,Bullseye,JR,,Bullseye may attack with any Special cards or Power cards in Hand for remainder of battle. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Captain Mar-Vell - Rick Jones,Captainmarvellrickjones-CLOP_cb20211010120447.jpg,https://cardguide.fandom.com/wiki/Captain_Mar-Vell_-_Rick_Jones_(CLOP),,"Mar-Vell, Rick Jones",JB,,"Remove all Hits from Captain Mar-Vell's Permanent Record and Current Battle, and switch places with the Reserve. One Per Deck",Cost/Effect: -,Normal,Rare,,,,Special
Bullseye - Relentless Assault,Bullseyerelentlessassault-CLOP_cb20211010113516.jpg,https://cardguide.fandom.com/wiki/Bullseye_-_Relentless_Assault_(CLOP),,Bullseye,KB,,"Acts as a level 7 Fighting attack. If successful, acts as a level 3 Strength Hit. Hit goes on Target Character's Permanent Record. Does not count toward Venture Total.",Cost/Effect: Fighting 7; Strength 3,Normal,Uncommon,,,,Special
Bullseye - Precision Shot,Bullseyeprecisionshot-CLOP_cb20211010113013.jpg,https://cardguide.fandom.com/wiki/Bullseye_-_Precision_Shot_(CLOP),,Bullseye,AN,,"Acts as a level 4 Energy, Fighting, Strength, or Intellect attack. May be used against Character in Reserve, who may defend.",Cost/Effect: Energy/Strength/Fighting/Intellect 4,Normal,Common,,,,Special
Captain Mar-Vell - Kree Strategem,Captainmarvellkreestrategem-CLOP_cb20211010114745.jpg,https://cardguide.fandom.com/wiki/Captain_Mar-Vell_-_Kree_Strategem_(CLOP),,Genis-Vell,AF,,"Add 3 to Captain Mar-Vell's Venture Total, or opponent -3 to Venture Total for this battle.",Cost/Effect: -,Normal,Common,,,,Special
Dazzler,Dazzler-CLOP_cb20211008224309.jpg,https://cardguide.fandom.com/wiki/Dazzler_(CLOP),,Dazzler (Alison Blaire),,,"Reserve may defend Dazzler with Power Cards, without Universe.",Energy 7Fighting 3Strength 3Intellect 3,Normal,Uncommon,,,,Character
Dazzler - Absorb Sound,Dazzlerabsorbsound-CLOP_cb20211010121443.jpg,https://cardguide.fandom.com/wiki/Dazzler_-_Absorb_Sound_(CLOP),,Dazzler,BY,,Dazzler must discard all cards with an Energy icon currently in Hand. Opponent must discard all cards with an Energy icon currently Placed and in Hand. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Dazzler - Disco Diva,Dazzlerdiscodive-CLOP_cb20211010122143.jpg,https://cardguide.fandom.com/wiki/Dazzler_-_Disco_Diva_(CLOP),,Dazzler,JH,,"Acts as a level 5 Intellect attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Intellect 5,Normal,Common,,,,Special
Dazzler - Longshot Love,Dazzlerlongshotlove-CLOP_cb20211010122738.jpg,https://cardguide.fandom.com/wiki/Dazzler_-_Longshot_Love_(CLOP),,"Dazzler, Longshot",HI,,Dazzler may Place and play any Longshot Special cards for remainder of game.,Cost/Effect: -,Normal,Uncommon,,,,Special
Dazzler - Mojoworld Rebel,Dazzlermojoworldrebel-CLOP_cb20211010122931.jpg,https://cardguide.fandom.com/wiki/Dazzler_-_Mojoworld_Rebel_(CLOP),,Dazzler,LT,,"Acts as a level 3 Fighting attack, +1 for each Mission card in opponent's Completed Missions Pile.",Cost/Effect: Fighting 3,Normal,Common,,,,Special
Dazzler - Focus Energy,Dazzlerfocusenergy-CLOP_cb20211010122403.jpg,https://cardguide.fandom.com/wiki/Dazzler_-_Focus_Energy_(CLOP),,Dazzler,FE,,Acts as a level 6 Energy attack. Each Front Line teammate may make 1 additional Energy attack. One Per Deck,Cost/Effect: Energy 6,Normal,Rare,,,,Special
Deathlok - Cybercorpse,Deathlokcybercorpse-CLOP_cb20211010130455.jpg,https://cardguide.fandom.com/wiki/Deathlok_-_Cybercorpse_(CLOP),,Deathlok,JW,,Acts as a level 3 Strength attack. May make 1 additional Power card attack. Neither attack may be defended with a Special card.,Cost/Effect: Strength 3,Normal,Common,,,,Special
Deathlok,Deathlok-CLOP_cb20211008224720.jpg,https://cardguide.fandom.com/wiki/Deathlok_(CLOP),,Deathlok (Luther Manning),,,"May play ""Luther Manning"" from Reserve.",Energy 4Fighting 5Strength 5Intellect 6,Normal,Uncommon,,,,Character
Deathlok - Luther Manning,Deathlokluthermanning-CLOP_cb20211010173253.jpg,https://cardguide.fandom.com/wiki/Deathlok_-_Luther_Manning_(CLOP),,Deathlok,AY,,Deathlok's Fighting Rating increases to 7 for remainder of game. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Deathlok - Internal 'Puter,Deathlokinternalputer-CLOP_cb20211010130724.jpg,https://cardguide.fandom.com/wiki/Deathlok_-_Internal_%27Puter_(CLOP),,Deathlok,KH,,"Opponent -3 to Venture Total for this battle. If opponent has ""Maximum Carnage"" Mission, opponent -6 to Venture Total for this battle.",Cost/Effect: -,Normal,Common,,,,Special
Deathlok - Really Strong Laser,Deathlokreallystronglaser-CLOP_cb20211010174243.jpg,https://cardguide.fandom.com/wiki/Deathlok_-_Really_Strong_Laser_(CLOP),,Deathlok,KB,,"Acts as a level 7 Energy attack. If successful, acts as a level 3 Strength Hit. Hit goes on Target Character's Permanent Record. Does not count toward Venture Total.",Cost/Effect: Energy 7/Strength 3,Normal,Common,,,,Special
Doctor Doom: 2099,Doctordoom2099-CLOP_cb20211008225146.jpg,https://cardguide.fandom.com/wiki/Doctor_Doom:_2099_(CLOP),,Doctor Doom (Victor von Doom),,,-,Energy 5Fighting 3Strength 6Intellect 7,Normal,Rare,,,,Character
Deathlok - Michael Collins,Deathlokmichaelcollins-CLOP_cb20211010173818.jpg,https://cardguide.fandom.com/wiki/Deathlok_-_Michael_Collins_(CLOP),,"Deathlok, Michael Collins",AY,,Deathlok's Intellect Rating increases to 7 for remainder of game. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Dazzler - Roller Queen,Dazzlerrollerqueen-CLOP_cb20211010123204.jpg,https://cardguide.fandom.com/wiki/Dazzler_-_Roller_Queen_(CLOP),,Dazzler,AD,,Dazzler may avoid any numerical attack.,Cost/Effect: -,Normal,Common,,,,Special
Dracula,Dracula-CLOP_cb20211009120029.jpg,https://cardguide.fandom.com/wiki/Dracula_(CLOP),,Dracula (Vlad Dracula),,,-,Energy 3Fighting 5Strength 6Intellect 8,Normal,Rare,,,,Character
Dracula - Chiildren of the Night,Draculachildrenofthenight-CLOP_cb20211012174629.jpg,https://cardguide.fandom.com/wiki/Dracula_-_Children_of_the_Night_(CLOP),,Dracula,KT,,Target Character may not attack for remainder of battle until Target or teammate attacks this Special. Attack does not count toward Venture Total.,Cost/Effect: -,Normal,Common,,,,Special
Dracula - Deny Victory,Draculadenyvictory-CLOP_cb20211012175411.jpg,https://cardguide.fandom.com/wiki/Dracula_-_Deny_Victory_(CLOP),,Dracula,LT,,"Acts as a level 3 Energy attack, +1 for each Mission card in opponent's Completed Missions Pile.",Cost/Effect: Energy 3,Normal,Common,,,,Special
Dracula - Lord of the Vampires,Draculalordofthevampires-CLOP_cb20211012191224.jpg,https://cardguide.fandom.com/wiki/Dracula_-_Lord_of_the_Vampires_(CLOP),,Dracula,IC,,"Dracula's ""Mesmerize"" and ""Lifeblood"" become Any Character Specials for remainder of game. One Per Deck",Cost/Effect: -,Normal,Rare,,,,Special
Falcon - Flyby,Falconflyby-CLOP_cb20211012202030.jpg,https://cardguide.fandom.com/wiki/Falcon_-_Flyby_(CLOP),,Falcon (Marvel Comics),AN,,"Acts as a level 6 Energy attack. May be used against Character in Reserve, who may defend.",Cost/Effect: Energy 6,Normal,Common,,,,Special
Dracula - Mesmerize,Draculamesmerize-CLOP_cb20211012193033.jpg,https://cardguide.fandom.com/wiki/Dracula_-_Mesmerize_(CLOP),,Dracula,JH,,"Acts as a level 5 Energy attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Energy 5,Normal,Common,,,,Special
"Deathlok - John ""Siege"" Kelly",Deathlokjohnsiegekelly-CLOP_cb20211010131147.jpg,https://cardguide.fandom.com/wiki/Deathlok_-_John_%22Siege%22_Kelly_(CLOP),,"Deathlok, Siege",AY,,Deathlok's Strength Rating increases to 7 for remainder of game. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Enforcers - The Eel,Enforcerstheeel-CLOP_cb20211012200704.jpg,https://cardguide.fandom.com/wiki/Enforcers_-_The_Eel_(CLOP),,Eel (Edward Lavell),KD,,All MultiPower Power card Hits on Target Character are doubled when determining Cumulative K.O. for remainder of game. Does not count to Venture Total. One Per Deck,Cost/Effect: -,Normal,Uncommon,,,,Special
Dracula - Summon Thunder,Draculasummonthunder-CLOP_cb20211012194803.jpg,https://cardguide.fandom.com/wiki/Dracula_-_Summon_Thunder_(CLOP),,Dracula,KB,,"Acts as a level 7 Strength attack. If successful, acts as a level 3 Strength Hit. Hit goes on Target Character's Permanent Record. Does not count toward Venture Total.",Cost/Effect: Strength 7/Strength 3,Normal,Uncommon,,,,Special
Falcon - Aerial Maneuvers,Falconaerialmaneuvers-CLOP_cb20211012201220.jpg,https://cardguide.fandom.com/wiki/Falcon_-_Aerial_Maneuvers_(CLOP),,Falcon (Marvel Comics),KL,,"Opponent must immediately discard all Special cards in play that affect the ""remainder of the battle"" or the ""remainder of the game.""",Cost/Effect: -,Normal,Common,,,,Special
Falcon,Falcon-CLOP_cb20211009120815.jpg,https://cardguide.fandom.com/wiki/Falcon_(CLOP),,Falcon (Marvel Comics),,,May Place and play any Fighting Basic Universe card.,Energy 3Fighting 6Strength 5Intellect 4,Normal,Uncommon,,,,Character
Falcon - Mechanical Wings,Falconmechanicalwings-CLOP_cb20211012202342.jpg,https://cardguide.fandom.com/wiki/Falcon_-_Mechanical_Wings_(CLOP),,Falcon (Marvel Comics),AD,,Avoid 1 Strength or Fighting attack.,Cost/Effect: -,Normal,Uncommon,,,,Special
Falcon - Redwing,Falconredwing-CLOP_cb20211012203012.jpg,https://cardguide.fandom.com/wiki/Falcon_-_Redwing_(CLOP),,Redwing (falcon); Falcon (Marvel Comics),LQ,,"Acts as a level 4 Fighting attack. If successful, may make 1 additional Fighting attack against same Character. Additional attack may not be defended. One Per Deck",Cost/Effect: Fighting 4,Normal,Rare,,,,Special
Falcon - Snap Wilson,Falconsnapwilson-CLOP_cb20211015172350.jpg,https://cardguide.fandom.com/wiki/Falcon_-_Snap_Wilson_(CLOP),,Falcon (Marvel Comics),JS,,"Falcon may combine MultiPower or Fighting Power cards with Fighting Basic Universe cards usable by Falcon to avoid any attack, for remainder of game.",Cost/Effect: -,Normal,Common,,,,Special
Green Goblin - Revelations,Greengoblinrevelations-CLOP_cb20211015173644.jpg,https://cardguide.fandom.com/wiki/Green_Goblin_-_Revelations_(CLOP),,Norman Osborn,BZ,,"Target Character must reveal any cards in Hand playable by Target Character, and play those open-handed for remainder of battle.",Cost/Effect: -,Normal,Uncommon,,,,Special
Dracula - Lifeblood,Draculalifeblood-CLOP_cb20211012175928.jpg,https://cardguide.fandom.com/wiki/Dracula_-_Lifeblood_(CLOP),,"Dracula, unknown",KO,,"Play with any Fighting Power Card attack. If attack is successful, remove all Hits of equal or lesser value from Dracula's Permanent Record.",Cost/Effect: -,Normal,Uncommon,,,,Special
Gamma Base,Gammabase-CLOP_cb20211009143544.jpg,https://cardguide.fandom.com/wiki/Gamma_Base_(CLOP),Hulk She-Hulk Doc Samson Leader Abomination Thunderbolts,Hulk,,,"Gamma Base Team -2 to Venture Total per battle if opponent is using ""Annihilation Affair"" Mission.",,Normal,Common,,,,Location
Havok,Havok-CLOP_cb20211009121113.jpg,https://cardguide.fandom.com/wiki/Havok_(CLOP),,Havok,,,+1 to all attacks vs. Characters with Energy Power Grid 7 or 8.,Energy 7Fighting 3Strength 4Intellect 5,Normal,Uncommon,,,,Character
Forge - Spiritual Purging,Forgespiritualpurging-CLOP_cb20211015173027.jpg,https://cardguide.fandom.com/wiki/Forge_-_Spiritual_Purging_(CLOP),,Forge,KA,,"Acts as a level 5 Energy, Fighting, Strength, or Intellect attack, +1 for each Character K.O.'d this game. One Per Deck",Cost/Effect: Energy/Strength/Fighting/Intellect 5,Normal,Rare,,,,Special
Havok - Annihilate,Havokannihilate-CLOP_cb20211015174607.jpg,https://cardguide.fandom.com/wiki/Havok_-_Annihilate_(CLOP),,Havok,AS,,Acts as a level 9 Energy or Strength attack. One Per Dek,Cost/Effect: Energy/Fighting 9,Normal,Rare,,,,Special
Falcon - Power Dive,Falconpowerdive-CLOP_cb20211012202608.jpg,https://cardguide.fandom.com/wiki/Falcon_-_Power_Dive_(CLOP),,"Falcon (Marvel Comics), Redwing (falcon)",HT,,Discard any number of cards from Hand to appropriate Discard Piles. Sort through Power Pack and draw an equal number of cards. May not be duplicates. One Per Deck,Cost/Effect: -,Normal,Very Rare,,,,Special
Havok - Cosmic Battery,Havokcosmicbattery-CLOP_cb20211015175128.jpg,https://cardguide.fandom.com/wiki/Havok_-_Cosmic_Battery_(CLOP),,Havok,JS,,"Havok may combine MultiPower or Energy Power cards with Energy Basic Universe cards usable by Havok to avoid any attack, for remainder of game.",Cost/Effect: -,Normal,Common,,,,Special
Havok - Plasma Flare,Havokplasmaflare-CLOP_cb20211015181512.jpg,https://cardguide.fandom.com/wiki/Havok_-_Plasma_Flare_(CLOP),,Havok,AA,,Acts as a level 4 Fighting attack. May make 1 additional attack.,Cost/Effect: Fighting 4,Normal,Common,,,,Special
